  STRIDE	 16KiB	   min	 32KiB	   min	 64KiB	   min	128KiB	   min	256KiB	   min	512KiB	   min	  1MiB	   min	  2MiB	   min	  4MiB	   min	  8MiB	   min	 16MiB	   min	 32MiB	   min	 64MiB	   min
      32	   3.3	   2.1	   5.4	   2.1	   2.8	   2.0	   4.1	   2.0	   4.8	   2.0	   4.4	   2.0	   4.7	   2.0	   5.3	   2.0	   2.9	   2.0	   6.6	   2.0	   4.2	   2.0	   5.6	   2.2	   3.8	   2.3
      64	   4.3	   2.2	   4.5	   2.1	   3.4	   2.1	   3.5	   2.0	   4.8	   2.0	   5.8	   2.1	   6.5	   2.5	   4.4	   2.4	   4.0	   2.3	   5.0	   2.4	   7.4	   2.4	   8.2	   3.1	   8.9	   4.0
     128	   4.8	   2.3	   3.9	   2.2	   4.1	   2.1	   3.2	   2.1	   5.2	   2.0	   4.3	   2.0	   5.4	   2.6	   5.3	   3.4	   6.6	   3.5	   6.1	   3.5	   7.5	   3.7	  39.2	  11.5	  34.3	  16.9
     256	   6.3	   2.2	   4.0	   2.3	   4.7	   2.2	   4.0	   2.1	   3.8	   2.1	   5.1	   2.2	   5.3	   2.5	   4.7	   2.9	   9.7	   3.4	   5.3	   3.4	   8.0	   3.1	  26.1	   9.0	  35.6	  12.5
     512	   5.3	   2.4	   4.3	   2.2	   6.2	   2.3	   4.3	   2.2	   2.9	   2.1	   3.6	   2.2	   4.2	   2.7	   7.9	   3.8	  12.3	   3.8	   5.6	   3.1	   8.6	   3.8	  21.7	   9.9	  66.5	  20.4
    1024	   4.2	   2.6	   4.8	   2.4	   6.3	   2.3	   6.9	   2.4	   4.4	   2.3	   4.6	   2.3	   4.5	   2.4	   9.9	   4.4	  11.5	   5.3	  11.2	   5.5	   8.7	   5.1	   9.5	   5.3	  27.6	   9.9
    2048	   5.1	   3.1	   5.8	   2.6	   9.9	   5.2	  19.4	   6.8	  17.8	   6.2	  14.6	   7.0	  15.1	   7.0	  20.2	   6.9	  17.3	   8.7	  32.3	  13.3	  22.7	  13.6	  31.0	  12.8	  38.1	  13.3
    4096	   9.9	   4.3	   8.6	   3.1	  12.5	   6.5	  30.7	  14.6	  48.3	  16.9	  51.2	  16.2	  49.9	  17.1	  42.8	  16.9	  32.5	  17.2	  54.2	  18.8	  49.4	  23.9	  42.4	  24.6	  76.1	  24.8
    8192	  18.9	   6.5	   9.9	   4.3	   5.6	   3.1	  11.0	   6.6	  37.8	  13.3	  51.7	  17.4	  45.8	  17.6	  34.9	  18.7	  32.6	  16.2	  36.1	  16.8	  79.3	  21.9	  63.1	  24.5	  51.3	  24.9
   16384			  11.4	   6.5	   9.3	   4.3	   5.2	   3.1	  17.4	   7.6	  34.1	  14.1	  39.9	  18.3	  33.1	  18.6	  42.2	  19.4	  33.7	  18.9	  46.7	  20.9	  56.1	  23.9	  65.8	  25.5
   32768					  18.1	   6.5	   9.2	   4.3	   5.0	   3.1	  16.6	   7.6	  28.4	  14.4	  35.6	  17.3	  50.1	  18.5	  35.3	  17.1	  30.5	  18.3	  37.6	  16.7	  38.4	  21.6
   65536							  13.7	   6.5	   7.2	   4.3	   5.5	   3.1	  13.5	   7.3	  27.9	  13.5	  43.2	  17.4	  47.0	  18.2	  39.7	  19.2	  24.5	  16.6	  36.9	  21.0
  131072									  10.4	   6.5	   6.4	   4.3	   5.7	   3.1	  17.1	   6.8	  26.8	  13.9	  56.3	  16.6	  40.2	  18.2	  29.3	  18.8	  35.6	  18.3
  262144											  12.7	   6.5	   9.0	   4.3	   9.2	   3.1	  12.8	   7.1	  31.1	  13.7	  64.4	  18.5	  33.3	  16.5	  36.0	  18.6
  524288													  20.6	   6.5	  10.5	   4.3	   5.3	   3.1	  11.5	   6.4	  32.5	  14.0	  37.2	  18.4	  34.9	  18.1
 1048576															  12.0	   6.5	   7.6	   4.3	   5.3	   3.1	  11.1	   6.3	  24.6	  13.2	  40.6	  18.5
 2097152																	  17.4	   6.5	   7.0	   4.3	   7.1	   3.1	  13.1	   6.2	  27.6	  14.0
 4194304																			  11.0	   6.5	  15.3	   4.3	   7.8	   3.1	  26.5	   7.1
 8388608																					  19.2	   6.5	  10.4	   4.3	   6.8	   3.1
16777216																							  10.3	   6.5	   6.5	   4.3
33554432																									  10.1	   6.5
