  STRIDE	 16KiB	   min	 32KiB	   min	 64KiB	   min	128KiB	   min	256KiB	   min	512KiB	   min	  1MiB	   min	  2MiB	   min	  4MiB	   min	  8MiB	   min	 16MiB	   min	 32MiB	   min	 64MiB	   min
      32	   4.3	   2.1	   4.0	   2.1	   4.2	   2.0	   4.2	   2.0	   4.0	   2.0	   4.0	   2.0	   4.1	   2.0	   4.1	   2.0	   4.2	   2.0	   4.3	   2.0	   4.3	   2.0	   4.8	   2.3	   5.4	   2.8
      64	   4.6	   2.2	   4.7	   2.1	   4.5	   2.1	   4.2	   2.0	   4.0	   2.0	   4.3	   2.0	   4.9	   2.5	   5.0	   2.4	   4.6	   2.4	   4.9	   2.3	   5.1	   2.4	   8.8	   3.9	   8.5	   5.4
     128	   4.6	   2.3	   4.4	   2.2	   4.2	   2.1	   4.6	   2.1	   4.3	   2.0	   4.3	   2.0	   5.5	   2.7	   6.7	   3.3	   7.5	   3.5	   6.9	   3.5	   7.3	   3.5	  19.8	  11.8	  30.3	  26.2
     256	   5.2	   2.2	   4.7	   2.3	   4.4	   2.2	   4.4	   2.1	   4.3	   2.1	   4.1	   2.0	   5.9	   2.8	   6.6	   3.4	   6.8	   3.4	   7.0	   3.4	   6.6	   3.1	  11.8	   5.6	  25.3	  12.8
     512	   5.1	   2.4	   5.4	   2.2	   5.0	   2.3	   4.7	   2.2	   4.1	   2.1	   4.9	   2.1	   6.4	   3.1	   7.9	   3.8	   7.6	   3.7	   7.0	   3.2	   7.7	   3.9	  16.6	   8.1	  38.5	  18.4
    1024	   5.1	   2.6	   4.9	   2.4	   6.2	   2.4	   6.8	   3.0	   7.1	   3.0	   7.3	   3.4	   8.8	   3.8	  10.6	   4.8	   9.4	   4.4	  11.0	   5.5	  10.3	   5.1	  10.7	   5.4	  24.5	  12.8
    2048	   6.5	   3.1	   5.4	   2.6	  12.5	   5.3	  14.8	   6.5	  17.2	   7.1	  14.7	   6.7	  16.4	   6.8	  14.9	   6.9	  26.6	  12.1	  26.2	  10.5	  25.4	  11.8	  25.2	  13.0	  34.0	  16.8
    4096	   8.9	   4.3	   7.1	   3.1	  15.7	   6.5	  29.6	  13.3	  21.7	  10.7	  43.5	  16.5	  39.0	  16.3	  42.3	  17.8	  47.5	  21.5	  50.2	  19.0	  52.0	  23.1	  54.8	  24.8	  52.3	  25.0
    8192	  12.9	   6.5	   9.6	   4.3	   6.9	   3.3	  15.6	   6.3	  32.9	  13.9	  38.9	  17.6	  40.4	  18.1	  42.5	  16.4	  53.1	  23.3	  45.5	  19.8	  49.6	  22.2	  50.7	  24.3	  49.4	  25.2
   16384			  13.8	   6.5	   8.9	   4.3	   6.7	   3.1	  19.6	   7.1	  32.9	  12.0	  40.4	  18.2	  40.5	  19.4	  55.5	  25.7	  43.4	  19.6	  47.4	  21.6	  50.5	  24.3	  50.9	  25.0
   32768					  13.7	   6.5	   9.1	   4.3	   6.3	   3.1	  18.2	   7.3	  31.5	  14.4	  37.2	  17.6	  64.0	  26.9	  46.1	  20.6	  40.0	  19.7	 144.5	  67.6	  48.1	  23.0
   65536							  14.1	   6.5	   9.7	   4.3	   6.5	   3.1	  20.4	   7.2	  29.6	  13.4	  95.4	  31.6	  38.6	  17.9	  41.9	  20.3	 337.3	 143.5	 260.7	 113.5
  131072									  12.9	   6.5	   8.9	   4.3	   6.2	   3.1	  19.0	   7.0	  30.4	  14.3	  37.2	  17.6	  43.9	  18.6	  59.4	  27.2	  42.9	  20.8
  262144											  13.9	   6.5	   9.0	   4.3	   6.5	   3.1	  17.4	   7.5	  33.2	  13.1	  35.3	  18.6	  34.2	  16.7	  39.3	  19.2
  524288													  13.5	   6.5	   8.7	   4.3	   6.5	   3.1	  14.5	   6.2	  32.3	  14.0	  41.7	  18.5	  41.0	  19.6
 1048576															  14.6	   6.5	   8.9	   4.3	   6.4	   3.1	  11.8	   6.0	  30.0	  13.7	  43.4	  19.4
 2097152																	  13.1	   6.5	   9.2	   4.3	   6.5	   3.1	  13.6	   6.4	  33.5	  13.9
 4194304																			  13.5	   6.5	   8.9	   4.3	   6.9	   3.1	  18.2	   7.0
 8388608																					  13.8	   6.5	   8.6	   4.3	   6.7	   3.1
16777216																							  12.3	   6.5	   9.4	   4.3
33554432																									  14.4	   6.5
