  STRIDE	 16KiB	   min	 32KiB	   min	 64KiB	   min	128KiB	   min	256KiB	   min	512KiB	   min	  1MiB	   min	  2MiB	   min	  4MiB	   min	  8MiB	   min	 16MiB	   min	 32MiB	   min	 64MiB	   min
      32	   4.3	   2.1	   4.9	   2.1	   4.7	   2.0	   4.4	   2.0	   4.1	   2.0	   3.8	   2.0	   4.1	   2.0	   4.0	   2.0	   4.1	   2.0	   4.5	   2.0	   4.1	   2.0	   5.2	   2.3	   5.1	   2.4
      64	   5.0	   2.2	   4.9	   2.1	   4.3	   2.1	   4.3	   2.0	   3.8	   2.0	   4.4	   2.0	   5.2	   2.5	   4.8	   2.4	   4.6	   2.3	   5.3	   2.3	   4.7	   2.4	   7.4	   3.2	   8.1	   4.3
     128	   5.0	   2.3	   4.5	   2.2	   4.1	   2.1	   4.9	   2.1	   3.7	   2.0	   4.1	   2.0	   5.8	   2.7	   6.9	   3.4	   7.4	   3.6	   7.1	   3.5	   7.1	   3.6	  25.7	  11.3	  29.7	  17.8
     256	   4.7	   2.2	   5.6	   2.3	   4.6	   2.2	   4.1	   2.1	   4.4	   2.1	   4.9	   2.0	   4.7	   2.6	   5.8	   3.1	   6.0	   2.9	   6.0	   2.9	   6.7	   3.5	  25.1	  11.6	  28.8	  13.4
     512	   4.8	   2.4	   5.7	   2.2	   4.2	   2.3	   4.7	   2.2	   4.0	   2.1	   5.0	   2.1	   5.8	   2.9	   7.7	   3.7	   7.6	   3.9	   7.5	   3.8	   7.3	   3.9	  26.5	  12.5	  39.1	  19.2
    1024	   5.4	   2.6	   4.8	   2.4	   5.8	   2.9	   6.7	   3.0	   6.1	   2.9	   6.8	   3.2	   7.1	   3.4	   8.2	   4.3	  10.9	   5.3	  11.0	   5.2	  10.1	   4.9	   9.0	   4.8	  19.5	  10.4
    2048	   7.3	   3.1	   5.5	   2.6	  10.4	   5.2	  17.2	   6.1	  14.9	   7.0	  16.5	   6.9	  14.8	   6.4	  17.6	   7.6	  23.8	   9.5	  26.8	  10.9	  28.6	  13.2	  26.1	  12.9	  26.4	  13.4
    4096	   9.4	   4.3	   7.2	   3.1	  15.4	   6.2	  26.4	  13.4	  43.5	  17.1	  40.8	  17.8	  37.3	  15.9	  37.1	  16.4	  42.4	  16.2	  45.9	  19.0	  56.6	  25.4	  48.9	  25.7	  52.1	  25.8
    8192	  13.9	   6.5	   8.7	   4.3	   6.2	   3.1	  13.7	   6.6	  28.3	  13.1	  40.8	  17.8	  43.6	  18.3	  41.8	  16.6	  38.9	  16.1	  40.7	  17.4	  54.5	  22.0	  51.9	  25.7	  50.0	  26.0
   16384			  14.9	   6.5	   9.3	   4.3	   6.3	   3.1	  17.9	   7.6	  34.5	  15.2	  41.6	  17.8	  39.6	  13.6	  40.2	  17.5	  44.2	  18.7	  42.2	  20.4	  48.9	  24.1	  49.3	  25.7
   32768					  15.8	   6.5	   8.1	   4.3	   6.3	   3.1	  19.4	   6.8	  33.5	  14.2	  44.9	  17.4	  38.6	  18.6	  38.2	  17.9	  37.3	  18.3	  35.2	  18.3	  46.6	  23.0
   65536							  13.4	   6.5	   8.3	   4.3	   7.1	   3.4	  19.7	   7.6	  30.5	  13.6	  38.9	  17.9	  39.5	  18.8	  38.6	  17.7	  40.0	  19.3	  67.8	  31.6
  131072									  15.1	   6.5	   8.8	   4.3	   7.2	   3.1	  20.5	   7.8	  31.9	  14.4	  37.7	  17.9	  38.2	  17.9	  31.8	  17.0	  38.4	  19.3
  262144											  13.5	   6.5	   8.3	   4.3	   6.8	   3.1	  20.7	   7.2	  25.3	  12.9	  36.8	  17.9	  36.1	  16.3	  37.1	  17.5
  524288													  13.4	   6.5	   8.8	   4.3	   6.1	   3.1	  13.9	   6.2	  29.2	  13.4	  34.6	  17.9	  38.2	  17.5
 1048576															  12.8	   6.5	  10.2	   4.3	   5.4	   3.1	  14.1	   6.2	  30.9	  14.0	  40.8	  19.1
 2097152																	  13.0	   6.5	   7.6	   4.3	   6.3	   3.1	  12.4	   6.4	  29.2	  12.5
 4194304																			  14.9	   6.5	   8.7	   4.3	   5.8	   3.1	  20.3	   6.1
 8388608																					  13.8	   6.5	   7.7	   4.3	   6.5	   3.1
16777216																							  13.2	   6.5	   9.2	   4.3
33554432																									  13.9	   6.5
