  STRIDE	 16KiB	   min	 32KiB	   min	 64KiB	   min	128KiB	   min	256KiB	   min	512KiB	   min	  1MiB	   min	  2MiB	   min	  4MiB	   min	  8MiB	   min	 16MiB	   min	 32MiB	   min	 64MiB	   min
      32	   4.3	   2.1	   4.2	   2.1	   4.1	   2.0	   4.1	   2.0	   4.1	   2.0	   4.2	   2.0	   4.1	   2.0	   4.2	   2.0	   4.2	   2.0	   4.1	   2.0	   4.2	   2.3	   5.5	   4.9	   4.8	   4.5
      64	   4.7	   2.3	   4.4	   2.1	   4.2	   2.1	   4.1	   2.0	   4.1	   2.0	   4.5	   2.1	   5.0	   2.5	   4.8	   2.4	   4.8	   2.3	   4.8	   2.3	   5.0	   2.5	   8.8	   6.4	   8.2	   6.9
     128	   5.3	   2.5	   4.7	   2.3	   4.3	   2.1	   4.2	   2.1	   4.1	   2.0	   4.4	   2.1	   5.4	   2.6	   6.9	   3.4	   7.3	   3.5	   7.2	   3.5	   7.3	   5.4	  33.9	  29.8	  25.4	  24.3
     256	   6.6	   3.0	   5.3	   2.5	   4.6	   2.3	   4.4	   2.1	   4.2	   2.1	   4.6	   2.3	   5.5	   2.7	   6.1	   2.9	   6.7	   3.2	   6.4	   3.2	   7.3	   3.6	  33.5	  29.2	  27.1	  24.5
     512	   6.7	   2.8	   6.6	   3.0	   5.2	   2.5	   4.8	   2.3	   4.6	   2.1	   5.0	   2.5	   5.9	   2.9	   7.3	   3.6	   7.7	   3.8	   7.6	   3.8	   7.9	   3.9	  21.6	  12.8	  28.9	  25.5
    1024	   6.7	   2.6	   6.1	   2.8	   6.6	   3.0	   5.8	   2.4	   4.9	   2.3	   6.1	   2.4	   6.9	   3.0	   9.1	   4.3	  11.0	   5.1	  10.2	   4.9	  10.4	   5.1	  14.6	   6.8	  17.7	  12.2
    2048	   6.5	   3.1	   7.1	   3.1	  12.5	   5.7	  15.4	   6.8	  15.1	   6.9	  15.9	   6.1	  14.6	   6.4	  15.3	   6.9	  19.5	   7.8	  26.5	  11.2	  24.3	  12.0	  22.1	  10.6	  27.1	  13.6
    4096	  10.5	   4.5	   8.4	   3.6	  15.1	   6.2	  29.9	  13.4	  25.1	  10.9	  39.9	  16.7	  38.8	  17.0	  40.7	  15.7	  37.2	  16.3	  50.3	  23.4	  51.9	  25.3	  52.2	  25.8	  52.5	  25.8
    8192	  14.6	   7.0	  10.2	   4.8	   8.3	   3.6	  15.0	   6.5	  29.8	  13.4	  38.3	  15.9	  37.9	  16.3	  38.6	  15.5	  39.2	  16.1	  39.5	  16.7	  48.8	  23.9	  51.3	  25.0	  52.7	  25.9
   16384			  14.2	   7.0	  10.3	   4.8	   8.3	   3.6	  17.4	   6.9	  31.3	  13.9	  38.6	  17.2	  40.8	  19.1	  40.3	  19.3	  54.0	  25.8	  43.7	  21.3	  51.5	  25.1	  53.0	  25.8
   32768					  14.5	   6.5	  10.1	   4.5	   8.2	   3.1	  19.9	   7.9	  31.9	  14.4	  38.4	  17.7	  38.4	  18.2	  38.1	  18.4	  45.8	  21.5	  74.2	  34.9	  45.7	  21.9
   65536							  14.7	   6.6	  10.2	   4.5	   7.9	   3.3	  19.4	   7.3	  30.5	  13.6	  38.3	  18.0	  38.2	  18.7	  37.9	  17.5	  46.3	  21.9	 122.2	  52.9
  131072									  13.6	   6.5	  10.4	   4.5	   7.7	   3.1	  19.4	   7.4	  31.8	  13.0	  37.1	  17.1	  71.1	  28.6	  45.0	  20.5	  39.7	  19.3
  262144											  14.2	   6.5	  10.3	   4.8	   8.2	   3.3	  20.2	   7.4	  31.1	  13.6	  34.0	  15.5	  38.4	  18.4	  37.1	  17.3
  524288													  14.4	   6.6	  10.1	   4.5	   7.9	   3.1	  14.1	   6.2	  25.0	   9.1	  37.1	  18.0	  38.4	  17.9
 1048576															  14.3	   6.5	  10.8	   4.5	   8.1	   3.3	  11.7	   5.2	  30.9	  13.9	  41.9	  18.7
 2097152																	  14.4	   6.6	  10.2	   4.5	   8.4	   3.6	  13.8	   6.3	  30.3	  13.6
 4194304																			  14.7	   6.5	  10.3	   4.3	   8.2	   3.3	  22.0	   7.5
 8388608																					  14.3	   6.5	  10.4	   4.5	   8.3	   3.1
16777216																							  14.4	   6.6	  10.6	   4.3
33554432																									  14.4	   6.5
