  STRIDE	 16KiB	   min	 32KiB	   min	 64KiB	   min	128KiB	   min	256KiB	   min	512KiB	   min	  1MiB	   min	  2MiB	   min	  4MiB	   min	  8MiB	   min	 16MiB	   min	 32MiB	   min	 64MiB	   min
      32	   4.3	   2.1	   4.1	   2.1	   4.4	   2.0	   4.1	   2.0	   4.3	   2.0	   4.1	   2.0	   4.0	   2.0	   4.1	   2.0	   4.1	   2.0	   4.0	   2.0	   3.9	   2.0	   4.9	   2.8	   5.6	   4.8
      64	   4.3	   2.2	   4.5	   2.1	   4.3	   2.1	   4.2	   2.0	   4.3	   2.0	   4.0	   2.0	   5.0	   2.5	   4.7	   2.4	   5.1	   2.3	   4.9	   2.4	   4.8	   2.4	   9.5	   5.3	   8.9	   7.5
     128	   4.6	   2.3	   4.7	   2.2	   4.3	   2.1	   4.3	   2.1	   4.4	   2.0	   4.2	   2.0	   5.3	   2.6	   6.7	   3.3	   7.6	   3.6	   6.9	   3.4	   7.0	   3.6	  32.1	  30.2	  30.4	  29.3
     256	   4.5	   2.2	   4.9	   2.3	   4.3	   2.2	   4.4	   2.1	   4.2	   2.1	   4.3	   2.0	   5.2	   2.6	   6.7	   3.4	   6.8	   3.3	   7.1	   3.4	   7.5	   3.5	  28.8	  17.0	  26.3	  23.9
     512	   4.6	   2.4	   4.9	   2.2	   4.8	   2.3	   4.6	   2.2	   4.6	   2.1	   4.6	   2.1	   5.8	   2.9	   7.4	   3.7	   8.0	   3.8	   7.8	   3.8	   7.7	   3.9	  37.8	  19.4	  36.2	  19.4
    1024	   5.3	   2.6	   4.9	   2.4	   5.7	   2.3	   5.9	   2.5	   6.1	   2.4	   6.6	   2.6	   6.7	   3.3	   9.5	   4.4	  10.7	   5.0	  12.0	   5.4	  10.5	   5.2	  24.5	  11.3	  19.4	   9.2
    2048	   6.3	   3.1	   5.5	   2.6	  11.5	   5.2	  14.4	   6.5	  15.3	   6.9	  15.3	   7.0	  15.4	   6.4	  16.2	   6.8	  19.4	   8.0	  26.0	  11.7	  22.7	  11.5	  26.8	  12.5	  28.3	  14.0
    4096	   8.9	   4.3	   6.2	   3.1	  15.0	   6.4	  29.4	  13.3	  38.1	  17.6	  41.3	  17.9	  40.0	  15.6	  39.4	  15.2	  50.0	  21.4	  47.6	  19.9	  50.8	  24.7	  49.4	  24.0	  49.7	  24.5
    8192	  13.5	   6.5	   8.7	   4.3	   6.4	   3.1	  14.4	   6.5	  29.6	  12.4	  39.1	  17.2	  39.0	  17.8	  39.8	  16.4	  38.8	  15.4	  46.5	  20.7	  49.4	  24.3	  49.5	  24.5	  51.6	  24.6
   16384			  13.8	   6.5	   8.9	   4.3	   6.3	   3.1	  16.3	   7.3	  32.0	  14.2	  39.5	  17.1	  44.2	  18.8	  52.3	  23.5	  41.5	  19.1	  44.1	  21.0	  51.7	  25.7	  53.1	  25.3
   32768					  13.7	   6.5	   8.7	   4.3	   6.2	   3.1	  19.3	   7.5	  33.4	  14.3	  39.5	  17.9	  40.8	  19.2	  44.6	  19.6	  43.0	  20.3	  48.7	  21.8	  43.9	  21.8
   65536							  13.6	   6.5	   8.6	   4.3	   6.3	   3.1	  20.1	   6.6	  30.8	  13.4	 218.9	  84.6	  39.1	  18.0	  38.9	  16.3	 114.9	  51.5	 395.4	 182.2
  131072									  12.7	   6.5	   8.9	   4.3	   8.5	   3.3	  20.9	   7.5	  32.3	  14.4	  39.0	  17.3	  37.8	  17.6	  40.6	  18.0	  55.9	  25.6
  262144											  13.6	   6.5	   9.9	   4.5	   8.0	   3.1	  23.2	   8.1	  30.4	  13.6	  39.3	  18.6	  63.3	  26.6	  85.9	  36.0
  524288													  14.5	   7.0	   8.5	   4.3	   8.0	   3.4	  13.2	   6.3	  33.0	  13.0	  37.8	  18.2	  38.9	  18.2
 1048576															  13.5	   6.5	   8.8	   4.3	   8.0	   3.1	  13.7	   5.8	  33.6	  14.5	  44.7	  19.2
 2097152																	  13.0	   6.5	  10.6	   4.3	   8.8	   3.5	  13.7	   6.2	  30.9	  14.0
 4194304																			  14.2	   6.5	  10.8	   4.5	   6.6	   3.1	  18.1	   7.4
 8388608																					  14.7	   6.5	   8.9	   4.3	   6.5	   3.1
16777216																							  13.9	   6.5	   8.7	   4.3
33554432																									  13.0	   6.5
