  STRIDE	 16KiB	   min	 32KiB	   min	 64KiB	   min	128KiB	   min	256KiB	   min	512KiB	   min	  1MiB	   min	  2MiB	   min	  4MiB	   min	  8MiB	   min	 16MiB	   min	 32MiB	   min	 64MiB	   min
      32	   3.9	   2.1	   5.5	   2.1	   3.2	   2.0	   6.6	   2.0	   3.2	   2.0	  10.5	   2.0	   3.1	   2.0	   5.2	   2.0	   5.3	   2.0	   3.5	   2.0	   5.4	   2.0	   6.6	   2.2	   3.5	   2.3
      64	   4.7	   2.2	   3.3	   2.1	   7.4	   2.1	   4.4	   2.0	   4.0	   2.0	   3.1	   2.0	   4.7	   2.5	   7.5	   2.4	   5.6	   2.4	   3.5	   2.3	   6.4	   2.4	  11.0	   3.4	  16.5	   4.1
     128	   4.6	   2.3	   4.5	   2.2	   4.3	   2.1	   3.4	   2.1	   5.6	   2.0	   6.2	   2.2	   6.0	   2.6	   5.1	   3.4	  12.4	   3.6	   6.9	   3.4	  11.8	   3.7	  41.1	   9.5	  21.9	  15.1
     256	   5.9	   2.2	   6.0	   2.3	   3.5	   2.2	   4.4	   2.1	   7.0	   2.1	   6.6	   2.2	  11.0	   2.8	   8.9	   3.0	   4.8	   3.3	   8.3	   3.3	   9.9	   3.1	  38.8	   9.7	  22.6	  12.8
     512	   9.6	   2.4	  10.3	   2.2	   5.1	   2.3	   6.5	   2.2	   3.4	   2.1	   4.2	   2.6	   4.3	   2.8	   9.7	   3.8	   6.6	   3.8	   9.9	   3.8	  11.8	   3.7	  18.9	   9.3	  57.5	  13.2
    1024	   4.0	   2.6	   3.8	   2.4	  10.7	   3.1	  10.0	   2.8	   7.9	   2.3	  10.1	   2.5	   9.5	   3.1	   7.2	   4.4	  11.1	   5.3	   9.4	   5.6	  14.8	   5.5	   7.1	   4.8	  18.3	  10.9
    2048	   5.7	   3.1	   4.6	   2.6	  18.2	   5.2	  11.8	   6.7	  20.8	   4.5	  17.3	   6.9	  22.5	   6.2	  15.5	   7.0	  40.2	   8.1	  18.8	  10.8	  29.2	  11.9	  39.2	  13.5	  27.9	  13.5
    4096	  12.9	   4.3	   9.2	   3.1	  11.0	   6.3	  28.8	   8.9	  29.1	  15.3	  32.1	  18.3	  30.3	  15.6	  46.2	  15.9	  33.3	  18.6	  43.8	  19.4	  51.5	  23.5	  77.9	  24.4	  40.1	  25.6
    8192	  21.1	   6.5	  13.4	   4.3	   9.9	   3.1	  22.8	   7.5	  54.6	  13.7	  38.8	  17.6	  60.2	  16.5	  78.6	  14.8	  31.8	  18.3	  32.6	  17.9	  65.0	  22.5	  89.7	  24.2	  37.2	  25.5
   16384			  17.5	   6.5	  11.0	   4.3	   5.5	   3.4	  17.4	   7.3	  44.9	  15.2	  43.0	  15.8	  17.2	  10.7	  42.9	  20.7	  44.5	  19.4	  76.3	  21.7	  82.1	  23.4	  51.6	  25.4
   32768					  10.4	   6.5	  15.3	   4.3	   9.6	   4.6	  31.7	   7.4	  25.3	  13.5	  59.5	  17.8	  66.0	  19.1	  88.4	  16.6	  49.7	  18.3	  66.6	  20.4	  33.4	  22.0
   65536							  11.7	   6.5	   9.0	   4.3	   5.0	   3.1	  18.9	   6.6	  39.6	  13.6	  45.2	  17.6	  27.8	  18.5	  44.7	  19.0	  75.3	  19.8	  35.2	  23.2
  131072									  18.6	   6.5	  13.8	   4.3	   9.9	   3.4	  14.6	   7.6	  24.3	  14.3	  30.7	  16.7	  41.6	  18.4	  33.9	  16.4	  28.9	  18.2
  262144											  16.6	   6.5	  15.5	   4.3	  11.2	   3.1	  19.1	   7.6	  32.4	  13.1	  51.3	  19.3	  30.1	  19.7	  32.4	  17.4
  524288													  10.8	   6.5	   8.9	   4.3	   8.3	   3.1	  14.6	   8.4	  37.4	  15.0	  52.5	  17.6	  28.2	  18.1
 1048576															  10.8	   6.5	  16.8	   4.3	   7.4	   3.1	  38.5	   7.6	  53.3	  11.7	  28.6	  19.8
 2097152																	  10.7	   6.5	   7.8	   4.3	   7.8	   3.1	  27.4	   6.4	  27.9	  14.1
 4194304																			  16.9	   6.5	  11.3	   4.3	  15.6	   3.1	  14.9	   7.5
 8388608																					  12.1	   6.5	  16.8	   4.3	  11.0	   3.1
16777216																							  21.4	   6.5	   7.4	   4.3
33554432																									  27.8	   6.5
