  STRIDE	 16KiB	   min	 32KiB	   min	 64KiB	   min	128KiB	   min	256KiB	   min	512KiB	   min	  1MiB	   min	  2MiB	   min	  4MiB	   min	  8MiB	   min	 16MiB	   min	 32MiB	   min	 64MiB	   min
      32	   3.4	   2.3	   3.3	   2.2	   4.4	   2.1	   8.7	   4.5	   9.5	   3.5	   3.6	   2.1	   5.2	   2.2	   5.6	   2.1	   3.9	   2.1	   4.7	   2.1	   5.6	   2.1	   4.0	   2.3	   5.1	   2.4
      64	   4.1	   2.6	   3.8	   2.4	   4.6	   2.4	   8.1	   3.6	  19.7	   3.5	   5.7	   2.3	  11.9	   2.9	   6.3	   2.5	   3.9	   2.4	   6.2	   2.4	   5.5	   2.5	   8.9	   3.6	  13.1	   4.1
     128	   6.8	   3.2	   5.8	   2.6	  11.6	   2.4	  16.7	   2.5	   7.2	   4.6	   4.7	   2.7	   6.0	   4.0	  16.3	   4.6	  11.6	   4.6	   8.4	   4.6	  17.2	   4.7	  37.3	  14.1	  25.8	  17.4
     256	   7.6	   3.3	  15.0	   3.0	   5.8	   2.6	   9.5	   4.6	   7.6	   4.6	   5.5	   2.5	   7.1	   4.1	   6.5	   4.5	   8.3	   4.9	   9.7	   4.9	  17.9	   5.3	  32.5	  11.3	  25.6	  15.9
     512	  20.2	   3.6	   9.2	   3.3	   6.0	   3.1	   5.0	   2.7	   9.4	   4.6	   6.6	   3.2	  16.7	   4.4	   8.6	   4.8	   9.5	   4.9	  10.0	   5.0	  19.0	   5.6	  33.3	  12.6	  35.7	  17.8
    1024	  10.8	   4.2	   7.8	   3.6	   8.0	   3.5	   7.6	   3.4	   8.9	   4.0	   8.3	   3.1	   8.1	   3.8	  17.9	   4.5	  10.0	   5.4	  11.9	   5.5	  16.7	   5.9	  10.0	   6.6	  21.7	  13.8
    2048	  10.6	   5.3	  24.4	   4.2	   9.5	   4.1	   9.1	   4.2	  10.3	   4.6	  18.2	   4.1	  13.6	   4.2	  10.8	   5.0	  22.1	   5.5	  18.9	   6.9	  16.0	   7.2	  14.2	   7.5	  15.3	   8.3
    4096	  26.5	   7.6	  12.8	   5.3	  57.3	  10.8	  31.8	  13.4	  29.2	  14.1	  23.9	  14.4	  53.0	  13.3	  42.5	  12.3	  33.0	  16.7	  32.1	  15.4	  65.6	  21.0	  53.3	  21.4	  32.6	  21.0
    8192	  56.8	  12.1	  15.5	   7.6	  12.6	   5.3	  21.8	   9.5	  32.3	  14.0	  26.8	  14.5	  23.9	  14.5	  49.6	  13.8	  28.7	  13.6	  33.8	  15.2	  99.1	  20.1	  32.9	  20.7	  35.2	  20.6
   16384			  57.7	  12.1	  15.1	   7.6	  28.2	   5.3	  29.1	  11.2	  38.1	  16.2	  57.8	  16.5	  27.0	  16.7	  42.3	  16.3	  33.8	  16.1	  40.4	  19.2	  41.9	  21.1	  65.1	  22.1
   32768					  53.9	  11.4	  17.0	   7.6	  15.5	   5.8	  46.3	  11.4	  40.9	  15.8	  35.1	  16.2	  70.6	  16.5	  41.1	  17.6	  54.6	  17.9	  58.5	  17.5	  34.0	  20.0
   65536							  23.5	  11.4	  30.7	   7.6	  16.2	   5.3	  22.9	  10.4	  41.0	  15.6	  26.9	  17.0	  38.7	  16.3	  68.9	  17.5	  63.4	  16.5	  31.6	  19.7
  131072									  18.7	  12.1	  12.1	   7.6	  22.4	   5.3	  58.3	  12.1	  30.3	  16.2	  44.1	  17.3	  67.1	  17.0	  67.7	  18.1	  47.3	  18.2
  262144											  25.5	  12.1	  15.0	   7.7	   9.9	   5.3	  43.8	  10.8	  53.4	  15.5	  76.1	  18.0	  80.6	  18.9	  32.8	  18.4
  524288													  20.3	  12.1	  13.5	   7.6	  10.5	   5.3	  22.3	  10.6	  53.6	  15.5	  83.8	  18.1	  47.5	  17.9
 1048576															  52.0	  11.4	  35.3	   7.6	  29.5	   5.3	  42.1	  11.0	  90.7	  16.9	  35.9	  21.0
 2097152																	  27.8	  11.4	  17.7	   8.0	  12.4	   5.3	  40.4	  10.1	  33.4	  15.3
 4194304																			  23.4	  12.1	  32.3	   7.6	  46.1	   6.9	  27.2	  15.7
 8388608																					  45.6	  11.4	  34.4	   7.6	  12.2	   5.4
16777216																							  26.4	  12.1	  19.5	   8.3
33554432																									  61.4	  12.1
