  STRIDE	 16KiB	   min	 32KiB	   min	 64KiB	   min	128KiB	   min	256KiB	   min	512KiB	   min	  1MiB	   min	  2MiB	   min	  4MiB	   min	  8MiB	   min	 16MiB	   min	 32MiB	   min	 64MiB	   min
      32	   4.7	   2.3	   4.3	   2.2	   4.5	   2.1	   4.5	   2.1	   4.2	   2.1	   4.1	   2.1	   6.3	   2.2	   4.5	   2.1	   4.3	   2.1	   4.2	   2.1	   4.7	   2.2	   4.9	   4.2	   4.9	   4.5
      64	   5.3	   2.6	   4.7	   2.4	   4.8	   2.4	   4.6	   2.3	   4.8	   2.3	   4.6	   2.3	   8.7	   2.8	   4.9	   2.4	   5.0	   2.5	   4.9	   2.4	   5.7	   2.5	   9.1	   5.5	  10.2	   8.7
     128	   6.9	   3.2	   5.7	   2.7	   5.1	   2.5	   4.9	   2.3	   4.8	   2.3	   5.1	   2.5	   7.3	   3.4	   9.3	   4.6	   9.3	   4.6	   8.9	   4.6	  13.1	   5.6	  32.4	  16.4	  32.4	  26.5
     256	   9.0	   4.4	   6.7	   3.2	   5.6	   2.6	   4.9	   2.5	   5.0	   2.4	   5.2	   2.6	   7.9	   4.0	   8.8	   4.3	  10.1	   5.0	   9.3	   4.5	  11.2	   5.1	  31.8	  15.9	  30.4	  26.8
     512	  10.3	   5.1	   9.1	   4.3	   6.1	   3.1	   6.1	   2.9	   5.5	   2.6	   6.1	   2.8	   8.0	   3.9	   9.5	   4.8	   9.9	   4.8	   9.5	   4.8	  12.7	   5.8	  33.3	  16.0	  31.8	  16.6
    1024	  11.1	   4.8	  10.3	   5.2	  10.2	   4.5	   8.1	   3.4	   7.1	   3.3	   9.8	   3.3	   9.4	   4.7	  10.9	   5.2	  10.9	   5.3	  10.7	   5.2	  11.5	   5.7	  31.1	  15.8	  33.3	  16.2
    2048	  14.0	   6.7	  10.8	   4.3	  10.5	   4.4	  10.7	   4.5	  10.3	   4.4	  10.5	   4.3	  11.8	   5.4	  12.6	   6.1	  12.4	   6.1	  14.0	   6.7	  13.8	   6.7	  15.5	   7.4	  27.6	  13.5
    4096	  17.3	   8.7	  13.8	   5.6	  22.2	   9.6	  27.1	  13.1	  30.5	  13.4	  29.2	  14.1	  34.1	  14.7	  39.3	  17.5	  40.2	  18.5	  38.4	  17.1	  37.3	  19.0	  50.5	  23.5	  55.4	  28.2
    8192	  26.2	  12.1	  17.9	   7.8	  13.9	   6.7	  23.5	  10.0	  28.5	  13.4	  32.0	  14.3	  30.8	  14.1	  34.8	  14.6	  38.0	  17.1	  35.3	  17.9	  37.9	  18.7	  43.8	  20.4	  41.4	  20.4
   16384			  24.6	  12.1	  17.5	   8.7	  13.5	   6.7	  31.9	  11.2	  33.8	  15.0	  37.0	  16.3	  41.1	  18.6	  42.8	  19.2	  42.1	  19.2	  41.1	  20.1	  44.2	  21.7	  44.0	  21.8
   32768					  24.9	  12.1	  18.1	   8.1	  18.2	   7.9	  29.5	  11.8	  35.7	  16.2	  40.6	  19.0	  40.0	  18.1	  34.7	  17.2	  38.4	  17.6	  42.8	  20.2	  42.6	  20.6
   65536							  26.1	  12.7	  18.0	   8.7	  13.4	   5.3	  31.1	  10.7	  44.0	  17.3	 129.6	  52.7	  43.8	  19.9	  45.1	  20.4	  51.6	  23.6	 129.1	  61.0
  131072									  26.1	  12.7	  16.5	   7.6	  13.7	   5.3	  27.7	  10.4	  36.0	  15.1	  32.7	  15.3	  33.7	  16.3	  59.4	  27.3	 124.6	  58.6
  262144											  26.3	  12.1	  17.4	   8.7	  13.9	   6.7	  93.7	  33.8	  32.7	  14.8	  36.1	  17.3	  50.4	  22.4	 150.2	  60.9
  524288													  25.2	  12.1	  17.9	   7.6	  13.9	   5.3	  21.6	   9.4	  29.4	  13.7	  38.9	  18.2	  42.3	  19.3
 1048576															  25.5	  12.1	  17.4	   7.6	  12.9	   6.7	  22.1	  10.0	  35.0	  15.0	  42.0	  20.4
 2097152																	  26.5	  12.1	  18.5	   8.1	  13.4	   6.7	  24.2	  10.8	  32.9	  15.2
 4194304																			  24.5	  12.1	  18.2	   8.7	  13.7	   6.7	  36.5	  13.9
 8388608																					  25.5	  12.1	  17.2	   8.7	  13.6	   6.7
16777216																							  26.6	  12.7	  17.7	   8.7
33554432																									  26.6	  12.7
