  STRIDE	 16KiB	   min	 32KiB	   min	 64KiB	   min	128KiB	   min	256KiB	   min	512KiB	   min	  1MiB	   min	  2MiB	   min	  4MiB	   min	  8MiB	   min	 16MiB	   min	 32MiB	   min	 64MiB	   min
      32	   4.8	   2.3	   4.5	   2.2	   4.3	   2.1	   4.3	   2.1	   4.2	   2.1	   4.1	   2.1	   4.5	   2.2	   4.2	   2.1	   4.3	   2.1	   9.3	   4.6	   4.7	   2.4	   5.1	   3.9	   5.2	   4.8
      64	   5.4	   2.6	   4.9	   2.4	   4.9	   2.4	   4.7	   2.3	   4.7	   2.3	   4.6	   2.3	   5.5	   2.6	   5.0	   2.4	   4.9	   2.4	   9.5	   4.7	   5.7	   2.7	   8.8	   7.7	  10.9	   9.7
     128	   6.7	   3.2	   5.6	   2.7	   5.0	   2.4	   4.7	   2.3	   4.8	   2.3	   5.0	   2.5	   6.7	   3.3	   9.4	   4.5	   9.3	   4.6	   9.4	   4.6	  16.5	  13.1	  32.7	  29.9	  32.8	  28.9
     256	   9.1	   4.4	   6.7	   3.3	   5.5	   2.6	   5.1	   2.4	   4.9	   2.3	   5.3	   2.6	   7.3	   3.7	  10.1	   5.0	   9.1	   4.5	   9.1	   4.5	  15.1	   9.9	  33.0	  16.1	  31.2	  26.9
     512	  10.2	   5.1	   9.1	   4.4	   6.8	   3.1	   5.9	   2.7	   5.4	   2.6	   5.7	   2.7	   7.9	   3.9	   8.9	   4.5	  10.1	   4.9	   9.8	   4.8	   9.9	   4.9	  32.6	  16.3	  32.0	  16.4
    1024	  11.7	   5.6	  11.5	   5.2	   9.9	   3.5	   8.1	   3.9	   7.4	   3.3	   9.6	   3.3	   9.9	   4.8	  10.8	   5.3	  10.0	   5.0	  10.2	   5.0	  12.3	   5.7	  32.9	  16.0	  31.6	  16.6
    2048	  13.7	   6.7	  11.7	   5.6	  11.6	   4.6	   9.7	   4.4	   9.9	   4.3	  10.4	   4.5	  11.2	   5.4	  11.3	   5.5	  12.0	   5.8	  11.9	   5.8	  12.3	   6.1	  38.7	  19.0	  42.4	  24.5
    4096	  17.9	   8.1	  14.6	   7.0	  22.9	  10.3	  29.0	  13.0	  31.1	  13.0	  30.8	  14.2	  35.8	  15.0	  39.2	  17.1	  38.6	  17.3	  38.3	  18.6	  39.2	  18.8	  51.4	  24.1	  60.7	  29.2
    8192	  25.5	  12.1	  18.0	   7.8	  13.7	   6.7	  23.1	   9.4	  29.3	  14.0	  30.7	  14.5	  33.8	  15.6	  38.0	  17.3	  38.0	  17.7	  38.3	  18.5	  39.0	  19.2	  40.0	  20.1	  42.4	  20.7
   16384			  26.1	  12.1	  18.1	   8.7	  13.5	   6.7	  30.7	  10.3	  36.4	  14.1	  35.5	  16.3	  41.3	  17.1	  40.5	  19.3	  40.6	  19.5	  41.6	  19.8	  43.9	  21.3	  44.8	  21.9
   32768					  26.3	  12.1	  17.7	   7.6	  13.5	   5.8	  30.4	   9.4	  36.7	  16.6	  59.0	  24.9	  43.5	  20.2	  40.6	  19.0	  39.8	  19.3	  41.8	  20.3	  42.8	  20.9
   65536							  26.2	  12.1	  17.7	   7.9	  13.7	   6.7	  30.3	  11.2	  46.2	  19.2	  52.1	  22.2	  58.0	  25.0	  42.5	  19.4	  64.9	  31.1	 106.4	  45.5
  131072									  24.6	  12.1	  17.5	   8.0	  13.5	   5.8	  36.9	  15.0	  42.7	  17.8	  57.2	  26.1	  67.0	  29.6	  58.0	  23.8	 197.3	  92.3
  262144											  26.4	  12.1	  17.6	   7.6	  13.6	   5.8	  30.6	  11.2	  35.2	  15.5	  40.3	  19.0	  48.8	  22.0	  55.4	  25.9
  524288													  26.3	  12.1	  17.6	   8.7	  13.8	   6.7	  23.8	  10.9	  29.9	  14.2	  36.8	  17.3	  41.0	  18.2
 1048576															  25.3	  12.1	  17.9	   8.7	  13.9	   6.7	  23.1	  11.0	  34.1	  13.4	  43.3	  20.4
 2097152																	  26.1	  12.1	  17.5	   8.0	  13.7	   6.7	  23.4	  10.4	  33.7	  15.3
 4194304																			  26.3	  12.1	  18.1	   8.1	  14.0	   6.8	  35.8	  16.2
 8388608																					  26.4	  12.1	  18.0	   8.7	  13.9	   6.7
16777216																							  25.3	  12.7	  18.4	   8.7
33554432																									  25.6	  12.7
