  STRIDE	 16KiB	   min	 32KiB	   min	 64KiB	   min	128KiB	   min	256KiB	   min	512KiB	   min	  1MiB	   min	  2MiB	   min	  4MiB	   min	  8MiB	   min	 16MiB	   min	 32MiB	   min	 64MiB	   min
      32	   5.2	   2.3	   4.7	   2.2	   4.2	   2.1	   3.9	   2.1	   4.0	   2.1	   4.1	   2.1	   4.6	   2.2	   4.0	   2.1	   4.2	   2.1	   4.8	   2.1	   4.4	   2.1	   4.9	   2.3	   5.1	   2.5
      64	   5.8	   2.6	   4.9	   2.4	   4.6	   2.4	   4.3	   2.3	   5.2	   2.3	   4.4	   2.3	   5.2	   2.6	   5.3	   2.4	   5.2	   2.4	   4.7	   2.4	   5.4	   2.5	   7.9	   3.3	   9.3	   4.0
     128	   6.6	   3.2	   6.0	   2.7	   5.1	   2.4	   4.7	   2.3	   4.6	   2.3	   5.0	   2.5	   7.6	   3.3	   9.4	   4.6	   9.3	   4.6	  10.8	   5.0	  11.6	   5.7	  31.9	  16.4	  32.5	  16.2
     256	  10.1	   4.4	   6.5	   3.2	   5.0	   2.6	   4.8	   2.4	   4.4	   2.4	   5.2	   2.5	   8.6	   4.1	   8.4	   4.5	   9.2	   4.3	   9.6	   4.3	  12.9	   5.8	  29.3	  15.4	  30.7	  15.4
     512	  10.9	   4.3	   8.8	   4.4	   5.8	   3.1	   6.4	   2.7	   6.1	   2.6	   5.9	   2.8	   8.0	   3.9	   9.5	   4.6	   9.3	   5.0	  11.5	   5.6	  12.1	   6.2	  32.7	  15.1	  31.0	  15.8
    1024	  11.7	   4.8	   8.0	   4.3	   9.7	   4.4	   9.1	   3.8	   8.1	   3.3	   9.8	   3.3	   9.7	   4.2	   9.2	   4.9	   9.4	   5.1	   9.2	   4.8	  12.5	   6.3	  16.8	   6.3	  27.8	  14.3
    2048	  13.5	   5.3	   9.8	   4.2	   9.2	   4.6	   9.3	   4.2	   9.3	   4.4	  11.3	   4.1	  10.6	   5.4	  10.9	   5.7	  12.5	   6.3	  13.1	   6.3	  14.6	   6.9	  14.6	   7.3	  22.6	   9.5
    4096	  17.3	   7.6	  12.3	   6.7	  19.7	   9.8	  30.3	  13.0	  31.9	  15.6	  31.2	  14.1	  27.9	  13.8	  42.7	  17.4	  35.0	  18.7	  36.2	  16.3	  38.1	  19.3	  42.7	  20.9	  53.3	  25.7
    8192	  25.9	  12.1	  17.8	   7.8	  12.5	   5.8	  24.1	  10.5	  28.3	  13.7	  35.4	  14.3	  32.0	  15.8	  36.4	  15.8	  41.8	  18.5	  34.1	  15.4	  39.2	  18.8	  40.7	  20.9	  42.5	  20.5
   16384			  29.4	  12.1	  15.0	   8.0	  17.3	   7.9	  33.8	  14.1	  38.5	  17.9	  36.7	  16.7	  43.1	  18.1	  39.0	  19.4	  39.6	  18.7	  37.6	  19.9	  49.0	  21.6	  41.5	  22.0
   32768					  22.7	  12.1	  17.0	   7.8	  13.0	   6.7	  30.3	  11.2	  29.9	  16.3	  43.2	  19.6	  43.1	  18.3	  38.0	  16.4	  36.1	  17.1	  40.6	  19.8	  42.3	  20.4
   65536							  25.7	  12.7	  16.5	   7.6	  15.3	   5.3	  29.5	   9.1	  38.5	  16.9	  57.4	  27.2	  50.5	  22.7	  47.5	  20.6	  49.6	  23.8	 116.3	  57.7
  131072									  22.1	  12.1	  16.6	   7.6	  15.6	   6.6	  42.3	  13.1	  33.8	  17.1	  35.1	  15.6	  35.0	  14.9	  46.4	  21.6	 125.6	  60.4
  262144											  25.3	  12.1	  17.6	   7.8	  11.9	   6.7	 106.2	  37.0	  35.1	  14.9	  42.9	  16.5	  52.1	  19.8	  52.8	  23.3
  524288													  26.3	  12.1	  18.4	   8.7	  14.7	   5.8	  20.1	   9.4	  27.6	  14.1	  45.1	  18.0	  39.8	  18.8
 1048576															  24.8	  12.1	  17.7	   8.0	  18.3	   7.6	  18.9	   9.3	  31.7	  15.8	  40.4	  20.2
 2097152																	  29.1	  11.4	  16.6	   7.6	  14.1	   6.8	  22.8	  11.0	  30.7	  14.4
 4194304																			  27.1	  12.1	  17.8	   8.1	  14.3	   6.8	  33.8	  14.1
 8388608																					  23.7	  12.1	  17.1	   7.8	  14.6	   6.8
16777216																							  24.3	  12.1	  18.9	   8.4
33554432																									  25.4	  12.1
