  STRIDE	 16KiB	   min	 32KiB	   min	 64KiB	   min	128KiB	   min	256KiB	   min	512KiB	   min	  1MiB	   min	  2MiB	   min	  4MiB	   min	  8MiB	   min	 16MiB	   min	 32MiB	   min	 64MiB	   min
      32	   5.8	   2.3	   4.0	   2.2	   5.3	   2.1	   5.5	   2.1	   8.6	   4.5	   4.8	   2.1	   4.4	   2.2	   5.9	   2.1	   4.1	   2.1	   3.5	   2.1	   3.6	   2.1	   3.6	   2.3	   3.9	   2.4
      64	   7.9	   2.6	   5.6	   2.4	   5.2	   2.4	   3.6	   2.3	   7.1	   3.5	   4.6	   2.3	   3.9	   2.5	   5.3	   2.5	   3.9	   2.4	   5.2	   2.5	   4.3	   2.5	   6.2	   3.3	   9.9	   4.0
     128	   7.3	   3.2	   6.5	   2.6	   4.4	   2.4	   4.0	   2.3	   3.8	   2.3	   8.2	   2.8	   5.6	   3.5	   8.4	   4.5	   8.2	   4.6	  10.3	   5.0	   9.8	   5.1	  28.0	  16.9	  29.0	  17.5
     256	   8.3	   4.4	   5.7	   3.1	   4.0	   2.6	   4.7	   2.4	   8.3	   4.6	   5.9	   2.5	   7.9	   4.1	   8.1	   4.9	  10.5	   4.9	  14.8	   4.5	   9.3	   5.7	  35.1	  15.4	  25.1	  16.4
     512	  13.1	   3.6	   9.7	   3.3	   5.4	   3.1	   4.2	   2.7	   5.5	   2.6	   6.6	   3.1	   7.7	   3.8	   8.2	   4.9	  11.8	   4.7	  11.3	   5.6	  10.0	   5.7	  29.7	  14.1	  26.5	  17.0
    1024	  12.9	   5.6	  11.7	   3.6	   9.3	   4.5	   5.2	   3.4	   7.4	   4.3	   6.2	   3.2	  10.4	   4.1	   9.5	   5.1	  12.1	   5.4	   9.9	   4.9	  16.1	   6.6	  25.7	   6.9	  22.6	  13.2
    2048	  11.2	   5.3	  10.4	   4.2	  12.5	   4.5	  12.2	   4.2	   9.2	   4.6	   7.3	   4.1	   9.4	   4.0	   8.2	   5.0	  10.2	   5.3	  17.1	   6.6	  19.5	   7.0	  12.6	   7.5	  14.9	   8.2
    4096	  18.1	   7.6	   9.7	   5.3	  25.5	   9.6	  20.3	  13.8	  31.9	  13.7	  26.3	  12.8	  25.2	  12.2	  34.9	  13.2	  25.8	  13.5	  36.5	  15.2	  39.3	  19.2	  41.4	  20.9	  33.3	  20.4
    8192	  28.6	  12.1	  13.5	   7.6	  10.5	   5.3	  17.8	   9.8	  28.5	  13.5	  28.5	  14.4	  24.1	  13.5	  25.8	  13.0	  25.8	  15.4	  30.0	  14.9	  33.5	  18.7	  44.8	  19.8	  44.9	  19.8
   16384			  23.8	  12.1	  13.0	   7.6	  10.4	   5.3	  45.4	  13.0	  26.5	  16.1	  34.8	  16.3	  45.6	  16.7	  36.2	  15.6	  30.0	  16.5	  39.3	  17.5	  41.4	  20.7	  52.2	  22.2
   32768					  25.3	  12.1	  17.2	   7.6	  13.8	   5.3	  26.6	   8.9	  41.4	  15.5	  66.8	  17.7	  44.4	  15.6	  36.3	  15.9	  33.5	  16.4	  38.7	  19.6	  57.2	  20.4
   65536							  34.5	  12.1	  15.8	   7.6	  12.1	   5.3	  23.6	  11.7	  39.1	  14.8	  42.3	  16.4	  47.1	  16.4	  46.2	  15.8	  47.3	  17.4	  56.0	  19.8
  131072									  35.5	  12.1	  11.2	   7.8	  12.2	   5.3	  27.5	  11.5	  32.4	  16.2	  39.0	  15.5	  33.1	  16.0	  31.4	  15.8	  53.5	  18.6
  262144											  21.5	  12.1	  14.5	   7.6	  11.0	   5.3	  26.1	  10.9	  34.3	  15.3	  29.6	  17.6	  43.2	  16.5	  63.7	  18.7
  524288													  27.0	  12.1	  13.1	   7.6	   9.7	   5.3	  17.3	   9.5	  31.2	  14.3	  51.8	  18.0	  61.5	  18.6
 1048576															  21.6	  12.1	  14.3	   7.6	  18.1	   5.6	  17.0	   9.3	  48.6	  15.8	  57.0	  21.1
 2097152																	  18.6	  11.4	  16.2	   7.6	  10.2	   5.3	  27.4	  11.0	  55.6	  14.8
 4194304																			  26.7	  12.1	  11.4	   7.6	  13.0	   6.0	  52.7	  16.5
 8388608																					  24.1	  12.1	  15.3	   8.0	  21.9	   6.7
16777216																							  28.1	  12.1	  13.0	   8.0
33554432																									  19.3	  11.4
