  STRIDE	 16KiB	   min	 32KiB	   min	 64KiB	   min	128KiB	   min	256KiB	   min	512KiB	   min	  1MiB	   min	  2MiB	   min	  4MiB	   min	  8MiB	   min	 16MiB	   min	 32MiB	   min	 64MiB	   min
      32	   4.8	   2.3	   4.6	   2.2	   4.3	   2.1	   4.2	   2.1	   4.3	   2.1	   4.6	   2.1	   4.3	   2.2	   4.4	   2.1	   4.5	   2.1	   4.1	   2.1	   4.4	   2.1	   5.2	   2.5	   5.0	   2.8
      64	   6.0	   2.7	   5.1	   2.4	   5.1	   2.4	   4.7	   2.3	   5.0	   2.3	   4.5	   2.3	   5.3	   2.6	   4.9	   2.4	   5.0	   2.4	   5.2	   2.4	   5.3	   2.5	   8.2	   3.8	  10.1	   5.7
     128	   6.8	   3.2	   5.9	   2.6	   5.1	   2.4	   4.9	   2.3	   4.9	   2.3	   4.9	   2.5	   7.2	   3.6	   9.2	   4.6	  10.1	   5.0	  10.0	   4.6	  14.1	   6.5	  34.2	  16.3	  34.2	  16.2
     256	   8.8	   4.4	   6.4	   3.0	   6.1	   2.6	   4.9	   2.4	   4.9	   2.3	   5.0	   2.6	   7.5	   3.4	   9.3	   4.5	   8.9	   4.3	  10.3	   5.2	   8.7	   4.3	  31.3	  15.4	  30.3	  15.4
     512	  11.3	   5.1	   8.8	   3.3	   6.5	   3.1	   6.5	   2.7	   5.8	   2.6	   5.5	   2.7	   8.0	   3.8	  10.4	   5.0	  10.2	   5.1	   9.6	   4.8	   9.9	   5.0	  32.3	  15.7	  33.3	  15.9
    1024	  11.6	   5.6	  11.7	   4.0	   9.0	   3.5	   7.9	   3.8	   9.9	   3.3	  10.0	   3.2	   9.4	   4.7	  10.7	   5.1	  10.6	   4.9	  10.5	   5.6	   9.9	   4.8	  31.6	  15.7	  31.9	  14.8
    2048	  13.4	   6.7	  11.5	   4.4	  10.7	   4.2	   9.9	   4.2	  11.7	   5.4	  10.1	   4.2	  11.1	   5.1	  12.7	   6.3	  11.5	   5.9	  12.5	   6.1	  14.0	   6.4	  16.7	   7.4	  29.5	  13.4
    4096	  17.5	   7.6	  13.5	   6.7	  21.3	   9.9	  27.3	  13.4	  31.9	  14.5	  30.0	  14.2	  32.2	  12.5	  35.8	  14.2	  40.9	  18.8	  41.4	  17.7	  36.2	  18.9	  42.5	  20.9	  56.7	  26.9
    8192	  25.6	  12.1	  19.4	   8.7	  13.5	   6.7	  24.4	   9.8	  28.3	  13.6	  30.8	  14.8	  33.6	  14.9	  46.0	  20.7	  37.2	  17.3	  36.9	  14.7	  38.7	  18.3	  43.8	  20.9	  40.7	  20.5
   16384			  25.8	  12.1	  17.0	   7.6	  13.1	   6.7	  32.2	  10.3	  37.9	  15.5	  36.0	  16.9	  43.8	  20.7	  44.5	  19.7	  39.6	  19.2	  42.6	  19.9	  47.5	  21.7	  43.7	  22.1
   32768					  27.1	  12.1	  18.5	   7.6	  14.3	   5.3	  30.1	  10.5	  37.4	  15.5	  45.7	  21.2	  40.7	  18.6	  34.9	  16.5	  37.4	  17.6	  40.2	  19.2	  39.2	  20.6
   65536							  24.3	  12.1	  18.2	   8.7	  13.6	   6.7	  28.5	  10.8	  41.7	  17.3	  43.7	  18.9	  76.6	  28.6	  42.3	  19.6	  50.5	  24.7	 117.5	  55.1
  131072									  25.3	  12.1	  19.3	   8.7	  17.3	   7.8	  38.2	  12.7	  39.8	  16.9	  33.1	  15.7	  33.1	  16.0	  58.2	  24.1	 107.4	  49.0
  262144											  26.6	  12.1	  15.9	   7.6	  18.6	   7.8	  31.0	  12.2	  36.8	  15.5	  40.6	  18.2	  47.6	  20.7	  48.8	  24.1
  524288													  28.1	  12.1	  18.7	   8.7	  13.5	   6.7	  21.2	   9.3	  33.5	  13.0	  37.2	  17.0	  39.9	  18.6
 1048576															  24.1	  12.1	  18.3	   8.7	  13.0	   6.7	  20.9	   9.4	  37.1	  14.4	  40.6	  20.3
 2097152																	  25.0	  12.1	  17.5	   7.6	  14.2	   7.3	  23.4	  10.2	  32.0	  15.1
 4194304																			  25.9	  12.1	  18.9	   8.7	  14.0	   6.7	  34.8	  14.1
 8388608																					  26.3	  12.7	  15.9	   8.7	  13.7	   6.7
16777216																							  27.1	  12.1	  18.0	   8.7
33554432																									  23.5	  12.1
